Gene Symbol,Expression Value
TBATA,6.136603737
EXOC3L2,8.159058064
CABP4,4.671955579
TNFRSF13C,5.846708487
CAMK2N2,5.342881319
ANKRD30BP2,3.17281414
KCNG3,3.84788566
KCNG3.1,4.041373618
LINC01312,3.200351407
LINC01312.1,2.914826907
FOXP2,4.689773015
B4GALNT2,4.366919428
NETO1.1,2.787425208
FMR1NB,3.186015833
GCSAML,3.334305865
SIGLEC11,3.465665841
SIGLEC11.1,5.142585218
IL23R,3.520918781
MAGEB18,2.899130857
CD276,5.293151699
IFNL2.1,3.949969338
IFNL1,4.714018012
C4orf36,3.583013541
FIGNL1,3.892486047
RIMS1,2.995800398
PITPNM2,4.798875282
PITPNM2.1,5.807711065
PCDH10,4.273680203
TAB3,3.31073701
TAB3.1,3.070843807
GRK7,3.429078275
MMEL1,5.855386236
PDE8A,6.776069639
NLRP6,4.184239909
AKNAD1,3.169044038
ZCCHC5,5.342072401
ATRIP,4.668353242
ZIC5,5.247728195
ANGPT1,2.78458503
TEDDM1,3.496278047
LOC149373,5.303181392
GABRG1,2.983029512
PANX2,7.984238608
ZNF114,3.361727543
ZNF114.1,4.096616358
CCDC27,5.402975837
C15orf26,2.952071198
LOC100652931,3.582263296
NEUROD2,4.49187968
C5orf17,3.774817798
LINC00208,4.277184731
DNAH6,3.348137621
LRRC15,4.856154249
NA..2,4.021461645
TTC40,5.320118174
B3GNT7,4.439354898
ZNF645,4.054457712
ZMYM6,4.049381723
ZMYM6.1,3.208358401
SGCZ,3.9311068
LOC100507431,2.952786286
WNT9B,4.668830222
NA..3,2.807629157
NA..4,3.193414743
NA..5,4.676742337
CNPY3,6.382222295
SCAMP1,5.068776354
LINC00471,2.953348538
HAS3,4.812592148
FGF4,4.18235242
SLC30A8,4.821856593
LOC142937,4.281783231
LOC439933,2.919156067
C11orf65,3.254680034
FAM71E2,3.668327868
OR5P2,3.823897352
DYDC1,3.23282437
IL27,5.635113334
IQCF1,4.807857887
DEFB125,3.921461716
WFDC10B,3.848285708
DEFB105A,3.810155552
PKHD1,4.597820392
PKD1L1,3.78711014
GPR112,3.815469833
TENM1,3.9483203
REXO1L1P,4.814099474
TAF1L,5.425961908
CNTNAP5,4.058072061
RECQL4,6.039367497
GPR113,5.023936097
TMC2,5.954300534
SMCR5,4.314769621
BICD2,5.092542331
ZIM3,3.141377475
NOX5,4.368463074
DAOA.AS1,2.828470778
GPR126,4.091304758
KLHL4,4.402034746
GPR156,4.256403369
SUOX,6.325465218
GPR115,4.058135883
IL31RA,3.829600194
SYTL5,3.989242834
SDCCAG8,4.162741432
GPR111,3.149527751
SYN2,4.05727301
ASB10,6.314317485
HTR3C,4.834745191
NFKBID,5.631986707
CD300LF,4.726481719
GJA10,5.124465762
WNT9A,4.090772811
GAL3ST2,6.744749926
PIP4K2B,5.739569276
PIP4K2B.1,4.757374468
ODF3,4.546229349
WFDC13,3.467432573
LINC00521,4.56950155
SLFN5,3.454697453
SERPINB12,5.207232951
GIPC3,4.579652038
PGLYRP3,3.994416781
PSKH2,5.447698045
OR6W1P,4.777419347
MOGAT1,5.321930491
GPR78,5.243069686
H1FOO,4.702125977
TAAR9,3.704345712
GNRHR2,4.658750005
NA..6,3.766077178
MYOZ3,4.895526964
MYOZ3.1,4.978664421
BNIPL,3.587827972
ASB11,3.734804209
OFCC1,2.850556389
OFCC1.1,3.127299564
SDR9C7,3.508996138
OR5P3,4.234339635
TRIM40,4.367031534
CSN1S2AP,3.584805756
WFDC12,6.227332743
CRYGN,5.164202129
NA..7,5.054991023
STARD6,3.329186653
C11orf40,3.310971796
C18orf12,4.829497109
BCL2L11,7.01911118
WFDC2.1,4.923415685
DEFB119,3.825238374
FLJ45513,4.345135956
BCL2L11.1,7.129539477
TIGD1,5.975112435
ALKBH5,6.643728703
CCDC69,5.54665739
NFX1,8.03104265
DSG2,6.274089022
C5orf24,4.003093501
C5orf24.1,5.31778876
C5orf24.2,5.155906484
KBTBD6,4.633432744
CDK8,4.852968219
CDK8.1,5.066409773
PTK6,5.104873071
NKD1,6.049057962
STK38,6.53822986
THEM4,7.544397055
CLSPN,3.218984634
RBAK,3.223290815
WDR62,3.727557464
WDR62.1,4.517406054
SLC39A12,3.120204766
RNF168,3.61570562
SVEP1,4.57193014
LOC652276,6.459365885
GATA4,5.113595434
TC2N,4.261871914
C9orf72,4.21690425
C9orf72.1,2.967052434
KCTD18,6.256202136
KLF11,4.832920524
ANKLE1,3.988918319
PLXNA3,4.984658978
PELO,3.422690728
LACC1,4.283242289
LACC1.1,3.36973668
TAPT1.AS1,6.897945428
C3orf30,3.498378379
RANBP3L,3.937662532
SNX13,4.350819069
KDM1B,3.066919715
ATP6V0D2,4.859233496
ATP6V0D2.1,7.36193113
ATP6V0D2.2,6.865984995
LHX4,4.864722887
LHX4.1,4.588664622
CEP19,5.576255398
DNAH11,5.901088086
PROSER3,5.104954937
ADPRHL1,5.482326731
SYNRG,5.459984961
CDH24,5.892238456
SEPSECS,4.128236253
GRIK5,4.931644199
LRRN4,5.157812847
LRRN4.1,3.788878455
ZNF777,6.114068112
JPH2,6.250865843
PDE5A,3.681284779
SH2D1B,3.697310631
SH2D1B.1,3.860469875
SSTR3,5.829071196
ADAMTS19,3.951227537
ADAMTS19.1,2.962003675
DDX31,5.528823798
UMODL1,3.129046195
RASEF,8.489176442
RASEF.1,7.444126701
PARD3B,4.331485989
PARD3B.1,5.874592255
DST,3.004353261
ZNF441,3.378244114
ZNF441.1,3.675770003
NEGR1,4.02997472
FCRL3,4.334911441
DCAF4L2,3.593401458
DCAF4L2.1,3.128793702
STOX1,3.667078948
C20orf166.AS1,5.497213721
C20orf166.AS1.1,6.519216826
ARL10,5.394532753
NA..8,3.363091533
RNFT2,3.965511087
ANKFN1,3.740485482
KRT78,4.427802359
KRT78.1,3.513942982
CCDC7,2.938003479
CCDC7.1,5.294204581
ZNF41,3.468347841
ZNF41.1,4.028999855
ZNF512,7.953648178
AMMECR1,3.927740467
FAM117B,3.685295791
ZNF583,5.215728047
OXER1,7.625841158
LUZP1,3.544863928
ZNF75D,4.498628944
LINC00052,4.670453731
BRWD1,5.613802413
CCDC89,3.128401321
ZNF572,4.100949248
RMDN2,4.678952026
ADAMTS18,5.124465762
PCDHAC1,4.421640637
PCDHAC1.1,4.431456168
HIPK4,6.705597914
FAM124A,5.819836001
NKAIN3,3.90554756
ITIH5,6.608476124
FANCB,3.064750553
POMK,5.180647534
ZNF709,3.165485541
CCDC57,6.090131927
SMC1B,4.024740328
BRWD3,4.353082025
ASB16,6.643246742
MAGEE2,3.524864811
ERVV.1,3.70297768
GAL3ST3,6.666084331
FLJ30679,4.61125506
ALS2CR11,3.17281414
ALS2CR11.1,2.990972616
UTS2R,7.097610799
USH1G,6.670653148
SYN1,7.001679915
SLC23A3,4.411540399
CNOT6L,3.006798691
CNOT6L.1,3.575473079
RHBDL3,3.965447358
ZNF718,3.363091533
DIP2B,3.369780746
SLC36A1,5.247728195
SNRNP48,4.872318528
NA..9,3.958652593
ZNF560,2.965373779
RTTN,2.996355202
BTNL9,6.712028972
PUS10,5.086360825
PLCXD2,5.492343937
C21orf128,4.003811909
LMLN,3.618250869
RAD9B,3.193502932
ZNF555,5.936171539
NYAP1,4.474462777
SGK494,4.21839877
MRGPRX3,3.459076848
ABCA13,2.837681518
GPR128,2.957177845
CSF3R,6.23953888
C17orf77,3.083826685
DUSP5P1,2.900271086
DGKH,3.753840239
TMEM182,3.065198415
C16orf46,5.440956513
LSM14B,4.52833601
CASP8,4.287340035
PLB1,3.704345712
C20orf197,2.77835711
SLC5A3,4.301273455
KIF19,3.710021184
SLFNL1,3.64167162
GPR82,3.746324805
GPR82.1,2.947925176
RIBC1,4.527679615
OXGR1,3.662754299
CDC14C,2.96754801
SULT1C4,4.165703895
TEAD1,3.485058336
CATSPER2,3.786899074
POU5F2,4.121501237
RXFP2,3.016050199
BEND7,4.334196508
SLC18A2,4.979488598
SSMEM1,2.916139277
SSMEM1.1,3.057072022
MAB21L3,2.96888904
LOC285696,4.089907026
MIER3,3.399344808
SDE2,4.545913129
SLC35G3,5.548432582
UROC1,3.750842807
PCDH15,3.010680761
TNRC6A,4.175823874
KCNA6,4.423685359
NFX1.1,5.767909992
ARID2,5.590834236
AMER3,4.764568155
OTUD7A,4.445250048
ERVW.1,5.042636783
NA..10,5.073623411
NA..11,4.438905728
NA..12,2.969810026
LINC00889,3.067477361
FBXL18,8.503493638
FBXL18.1,6.950174755
DNAH6.1,2.815420675
C6orf195,4.45629773
PNPLA1,4.275633439
DEPDC4,3.446148538
ANKRD23,6.87829923
COX6B2,5.88364039
FAM129C,4.734824531
EPHA10,3.685610739
NA..13,4.899722237
WDR64,3.740827678
PRO2949,3.185297326
BTBD9,4.303936523
AXDND1.1,3.06391952
HEATR9,3.574559788
PARP15,3.05411041
ARHGAP42,2.9062767
LINC01101,5.727970908
MFSD2A,4.374793497
ATM,5.013261747
FAM26D,3.812748434
NPHP3,4.595316788
ATG9B,4.602805749
CXorf58,3.441292019
EFCAB3,2.877337777
TFAP2B,4.959835055
CD200R1.1,5.273412515
CCDC13,6.753235615
CCDC13.1,6.899604997
NA..14,3.39352282
CRHR1.IT1,6.779151181
CRHR1.IT1.1,3.751015762
MRGPRX1,3.040354708
HFE,3.319229355
RLN3,4.752455636
CSMD1,4.390909333
MACF1,5.601571139
ADAMTS20,3.372681357
ABCC12.1,3.989172964
SALL3,4.466393347
AGBL4,4.749049065
FLJ13744,4.128064549
SLC17A8,2.965373779
C11orf44,4.223995512
CNTNAP5.1,4.292775855
SATB2.AS1,3.320563999
RBFOX1,5.223412137
SLFN13,3.404773323
C12orf40,3.983025471
WDR65,4.482869136
C5orf64,4.028999855
ADAMTS15,5.568300415
LY86.AS1,3.199373055
FLJ31713,4.593944509
EDARADD,4.439021429
LOC101060424,4.679365076
CCDC171,3.086303359
CYP4Z2P,3.072711631
C18orf15,5.242503709
MUC19,4.165703895
KLHDC7A,5.050530496
C11orf72,6.894137583
NA..15,4.927393417
AQP4.AS1,2.977492051
CNTNAP4,2.777367295
CNTNAP4.1,4.226430571
FER1L6.AS1,3.925819112
C1orf127,6.614990554
LOC100996634,3.343977391
AGBL1,3.63577206
FLJ34503,3.356435779
LINC00304,5.001337287
LINC00304.1,3.363091533
CCDC79,3.863575307
MYO1H,3.746306315
ASB14,5.17538937
RPTN,3.901677679
NA..16,4.096616358
LINC00269,5.428529876
VSTM4,4.858104545
CCDC150,4.335073035
C2orf61,4.441482605
FAM9B,3.179861094
NA..17,3.160898954
FLJ40288,6.449168035
CES5A,3.64167162
CHDC2,4.264826062
DCAF8L2,3.638213298
HYDIN2,3.480782378
DNAH17,3.884355613
SLC35G3.1,3.482966745
FLJ32955,3.413344774
LOC100288966,3.058600993
NA..18,3.860301737
KIRREL3.AS3,4.224959913
TMEM145,4.473403006
C15orf32,3.004616949
TSGA10IP,5.939945031
LINC00477,3.042095102
CCDC140,4.670928034
C17orf78,3.964628735
TEKT5,4.915286215
TEKT5.1,4.083304583
KSR2,3.958257441
PAX1,4.419679258
TDH,4.171134047
TDH.1,2.984468888
LINC00615,2.886329958
NA..19,4.614852467
SERPINA9,6.33803046
FBXL21,4.781440511
AKAP2,3.99466632
MRGPRX4,3.863098899
A2ML1,4.799183952
CPO,4.444109121
GPR6,5.049682434
MDS2,3.288033957
RQCD1,5.981042888
GJD3,4.984089551
HOXC12,4.359961726
VNN3,3.494463447
VNN3.1,4.157340865
MYEOV2,3.828289504
FERD3L,5.008482276
DEFT1P,4.436639565
LINC00314,3.140836623
DEFB104A,4.253548311
NLRP14,4.805183626
DGKB,2.942124112
NLRP13,5.206349072
NLRP8,4.644213217
NLRP9,4.615548688
TAF5,4.892563757
TAS1R2,4.204322335
ITGB1,8.491669235
PCSK6,4.805151722
ZNF341,6.111542108
JPH1,3.999566109
NLRP10,4.394738371
RANGAP1,6.932642893
MBNL2,3.933654421
KRT73,4.608019033
COX1,14.51784235
KRT74,5.36085579
SLC29A2,5.436238545
LMX1A,4.631379739
CCDC125,4.258036558
GPR101,5.221610855
ILDR1,5.428925742
NA..20,2.875058477
NA..21,3.376338738
VN1R2,3.824188666
VN1R5,3.897624955
ND2,14.20657431
TAAR8,3.979510335
TAS2R39,3.704345712
TAS2R38,4.603861199
TAS2R40,3.206840594
TAS2R41,4.65072326
TMEM171,5.445940769
VN1R4,3.830646309
TAS2R50,3.264703011
CD8B,5.380166554
MACROD2,4.248293831
DDAH1,5.398223025
PIANP,5.536806078
ATP6,14.49246938
HIST1H1T,4.102667131
COX2,14.23359052
COX2.1,14.25589424
CYGB,7.113883476
EFNA2,3.821580875
IFNE,3.455512897
ND6,7.375619609
SPAG11A,2.821851747
SREK1IP1,7.065495251
SPAG11A.1,4.028999855
THRSP,6.749931358
CXorf36,5.36757543
MAGEA10.MAGEA5,4.191979189
FBXL19.AS1,5.201880702
POLE4,7.457288568
ND3,14.40463098
PDZK1IP1,10.63915951
FAM27E2,5.207719195
BCRP3,4.518109694
BCRP3.1,5.194327492
TAL2,4.988133194
INSL3,5.555810722
SYCP3,2.965462748
TMIE,5.381241889
TMIE.1,4.178854695
MUCL1,5.065683173
ATL2,4.194756348
ABCA13.1,2.95180559
ABCA13.2,3.188657038
BACH1.1,3.124161896
LINC00189,3.223325334
KLHL35,5.008843164
ZNF354B,5.082752151
FOXC1,8.192322669
FLJ25694,3.539436995
TRIM43,3.960242761
TRIM43.1,3.926033526
TRIM42,3.406176264
FSIP1,3.428016662
MGC15705,4.372236641
FAM98B,2.66425901
EFCAB13,3.849258225
EFCAB13.1,3.503690045
FAM71B,4.95032259
C10orf107,3.195188758
LOC101929373,4.828128229
WEE2.AS1,4.373455442
TCTEX1D1,3.676490696
TMCO5A,3.013138572
TMCO5A.1,4.62408029
PPARGC1B,5.466995729
XKR6,4.723857381
TSGA13,4.911657688
C9orf163,6.29629341
SYNE3,4.10281701
CCDC141,3.044256702
HDX,3.764929492
CDYL2,5.587649373
C18orf54,2.963645932
C18orf54.1,3.004353261
SYT14,2.932408693
CDC20B,3.265775751
TECTB,6.246770325
VWA3A,6.95450759
LINC00896,5.582091674
HUS1B,4.947838613
HUS1B.1,3.414925509
NPB,7.324033318
CCDC34,3.527309177
LRCH3,5.193004156
INTS4,3.922305308
ENAH,3.314283127
STK35,3.970939857
LRRIQ3,3.297847615
KLC4,4.246258286
TIPRL,6.590386314
ITGB1.1,8.998022086
VKORC1L1,3.633390927
PRF1,5.975433344
FBXL14,3.09129902
FBXL14.1,4.240661112
PPIL6,4.845987063
SP1,5.028080481
C18orf25,4.119789002
METTL6,4.894722648
METTL6.1,4.783746558
SGOL1,5.062341025
B3GALNT2,3.30015765
CBR4,6.841684981
PIK3C2A,6.259789901
NLRX1,5.845555349
ZNF569,4.303126768
CCSAP,2.853560465
CCSAP.1,3.078602933
DUSP18,5.482326731
ZNF697,5.221794032
ZNF791,8.78047887
ZNF791.1,7.844036687
CHRM3,4.866478834
HTRA4,3.821676308
LINC00525,3.240502822
PRPF38A,7.911217438
FAM218A,3.962586104
FAM218A.1,3.432250026
RHEBL1,5.748690812
FAM195A,8.383556427
KCTD7,5.612526516
ZNF548,8.286491909
ZNF548.1,5.285179945
AMER2,5.472538394
RNF152,3.118706331
RNF152.1,4.895595115
GPR97,4.193720492
ZNF644,4.48444376
TBC1D32,3.63535849
B4GALNT3,5.831484696
LRRC43,7.461529635
LRRC43.1,5.862569968
LRRC43.2,7.173606856
CEP89,5.602828492
AK7,5.062341025
ZFC3H1,3.838180799
IRAK2,2.966030607
IRAK2.1,4.22602017
LINC00337,4.059484883
METTL21A,6.451901189
OTOGL,4.609881354
MGC16025,3.495850599
FAM76B,3.822299697
FAM76B.1,3.580198387
SPATA25,5.718876065
NXNL1,6.555128902
GLIS3.AS1,4.528732506
IQCG,4.280565945
MCM9,3.371837264
PRR14L,5.600850255
AJUBA,6.075748101
KLHL32,2.865748895
DCBLD1,5.453630234
SLAMF9,4.314015409
SLAMF9.1,5.964236506
GK5,3.921186051
FLJ31715,5.78365229
UBE2U,3.133495341
WBSCR27,6.163232457
LINC00638,6.052625416
ZC3HAV1L,2.758739549
RASGEF1B,3.498697004
C11orf45,4.213371037
C21orf58,4.011813391
KIAA1109,2.844131792
KIAA1109.1,4.053542925
STOML3,3.157720872
LINC01105,4.096616358
LINC01105.1,3.370889281
FBXL13,4.209937425
FAM227B,3.144258577
DTD2,3.749884838
SOX3,5.738734368
SPATA32,7.70080155
SPATA32.1,5.354958773
C3orf49,4.323424056
NKX2.3,3.660270816
TMEM252,6.859112256
