"Probe ID","Expression Value"
"1552680_a_at",3.171602575
"1552682_a_at",4.176458268
"1552684_a_at",5.055021871
"1552685_a_at",5.355046975
"1552686_at",5.212253817
"1552687_a_at",4.517267536
"1552689_at",5.74108476
"1552690_a_at",4.519001326
"1552691_at",3.005644537
"1552693_at",3.079706815
"1552694_at",3.549274261
"1552695_a_at",4.791187801
"1552696_at",4.288591424
"1552698_at",5.554144299
"1552701_a_at",6.158522859
"1552703_s_at",5.65896391
"1552705_at",3.539364895
"1552708_a_at",3.139364228
"1552711_a_at",8.291236677
"1552712_a_at",4.014875073
"1552713_a_at",5.891952259
"1552714_at",3.405875487
"1552715_a_at",3.7119785
"1552716_at",6.243546702
"1552717_s_at",3.948903576
"1552718_at",5.382225052
"1552719_at",5.43575295
"1552721_a_at",6.66963037
"1552722_at",3.018070028
"1552724_at",5.570309056
"1552725_s_at",4.224288697
"1552726_at",3.775433554
"1552727_s_at",3.932018915
"1552729_at",5.37085973
"1552730_at",3.592680998
"1552731_at",3.413510128
"1552732_at",3.061798199
"1552733_at",6.7854612
"1552734_at",3.622570438
"1552735_at",4.054524704
"1552736_a_at",3.764215408
"1552737_s_at",4.841238023
"1552738_a_at",3.431921175
"1552739_s_at",5.932283798
"1552740_at",4.346133804
"1552742_at",3.162495044
"1552743_at",4.242493844
"1552745_at",3.496836791
"1552747_a_at",3.063690997
"1552749_a_at",7.647137505
"1552750_at",3.88046004
"1552751_a_at",5.063175641
"1552752_a_at",3.595001279
"1552754_a_at",3.221598961
"1552755_at",8.33328948
"1552757_s_at",6.395223961
"1552758_at",3.26419229
"1552760_at",3.263131845
"1552761_at",6.21488056
"1552763_at",2.972816157
"1552765_x_at",3.587553623
"1552766_at",5.148785798
"1552767_a_at",8.878559085
"1552768_at",6.178976243
"1552769_at",4.152484232
"1552770_s_at",5.945229143
"1552771_a_at",3.631307192
"1552772_at",3.555437243
"1552773_at",4.406093989
"1552774_a_at",6.152046096
"1552775_at",4.66918721
"1552777_a_at",3.98619333
"1552779_a_at",3.439447653
"1552782_at",3.225843354
"1552783_at",3.051103627
"1552785_at",3.405875487
"1552787_at",3.19395554
"1552788_a_at",4.587412428
"1552789_at",5.533493542
"1552790_a_at",8.382782925
"1552791_a_at",2.873417143
"1552792_at",3.36849667
"1552793_at",3.902366863
"1552794_a_at",3.607945035
"1552796_a_at",4.596177068
"1552797_s_at",9.481801577
"1552798_a_at",5.738739202
"1552799_at",4.357750001
"1552800_at",6.722723577
"1552801_at",4.485101746
"1552803_a_at",3.496287308
"1552804_a_at",4.993687361
"1552806_a_at",3.987661561
"1552807_a_at",5.276226559
"1552808_at",3.04566739
"1552809_at",3.405103881
"1552811_at",6.061767705
"1552812_a_at",5.306385194
"1552813_at",5.441659834
"1552814_a_at",4.18038681
"1552816_at",3.086944263
"1552818_a_at",3.555437243
"1552819_at",4.191802718
"1552822_at",2.936570812
"1552825_at",4.095476931
"1552826_at",4.484188511
"1552827_s_at",4.055389633
"1552828_at",4.247979506
"1552829_at",4.851153788
"1552830_at",3.685075087
"1552833_at",4.489559815
"1552834_at",5.38614436
"1552835_at",3.620245144
"1552836_at",5.194425136
"1552837_at",2.779720873
"1552839_at",3.513652321
"1552841_s_at",3.009142162
"1552842_at",4.649271077
"1552843_at",3.660978211
"1552845_at",5.882611779
"1552846_s_at",5.571242734
"1552848_a_at",3.658095622
"1552849_at",3.198789906
"1552851_at",3.111565553
"1552852_a_at",3.118887085
"1552853_at",4.202803273
"1552854_a_at",4.209298831
"1552856_at",3.835184131
"1552857_a_at",4.393970153
"1552858_at",2.750463067
"1552860_at",4.026223389
"1552862_at",5.692204728
"1552863_a_at",6.679884598
"1552865_a_at",4.903727175
"1552867_at",7.004027665
"1552868_at",5.817105608
"1552870_s_at",2.816440207
"1552872_at",5.216165467
"1552873_s_at",5.571797752
"1552875_a_at",3.132403926
"1552876_at",3.678277128
"1552877_s_at",4.255075106
"1552878_at",3.7119785
"1552879_a_at",4.572687914
"1552880_at",4.199060143
"1552882_a_at",4.315346267
"1552884_at",4.703255892
"1552885_a_at",6.791702938
"1552887_at",5.671637923
"1552889_a_at",7.840944543
"1552890_a_at",4.359477733
"1552892_at",5.543151618
"1552893_at",5.016900383
"1552895_a_at",3.049990156
"1552897_a_at",3.285285144
"1552898_a_at",3.619564339
"1552899_at",3.086944263
"1552900_a_at",3.241469373
"1552902_a_at",4.848782813
"1552903_at",4.146867288
"1552904_at",2.890814856
"1552906_at",2.997716512
"1552908_at",3.129410061
"1552910_at",3.502228368
"1552911_at",5.020965505
"1552912_a_at",3.354879674
"1552913_at",2.712777282
"1552914_a_at",5.088937863
"1552915_at",4.21763106
"1552917_at",4.392124483
"1552919_at",3.467200413
"1552921_a_at",4.517310602
"1552922_at",2.944604804
"1552923_a_at",4.849949884
"1552924_a_at",6.181132996
"1552925_at",4.245525488
"1552927_at",3.622967892
"1552928_s_at",3.6583342
"1552929_at",3.18165385
"1552930_at",5.303400249
"1552931_a_at",7.555319727
"1552932_at",4.229554562
"1552933_at",3.096844759
"1552935_at",5.520770942
"1552937_s_at",4.401846618
"1552938_at",4.712938497
"1552939_at",2.975142771
"1552940_at",3.350525733
"1552942_at",4.927972285
"1552943_at",2.965373779
"1552944_a_at",7.864020549
"1552946_at",3.799821142
"1552947_x_at",4.143532993
"1552948_at",5.393583502
"1552950_at",3.154493473
"1552952_at",3.446322391
"1552953_a_at",4.476689661
"1552954_at",3.913340323
"1552955_at",3.796800568
"1552957_at",3.223405019
"1552960_at",4.596177068
"1552961_at",4.402502524
"1552964_at",4.619534448
"1552965_a_at",4.209298831
"1552967_at",3.932492495
"1552969_a_at",4.250397224
"1552970_s_at",3.549554425
"1552971_at",3.329391234
"1552972_at",2.699570513
"1552973_at",4.310891959
"1552974_at",2.920961277
"1552975_x_at",3.115906437
"1552976_at",4.607179702
"1552977_a_at",6.304311309
"1552978_a_at",6.88054176
"1552979_at",2.91433609
"1552980_at",4.735512692
"1552982_a_at",4.132616849
"1552985_at",4.515679445
"1552986_at",4.188638152
"1552987_a_at",3.133071813
"1552988_at",3.457058642
"1552990_at",3.417264738
"1552991_at",3.873046759
"1552993_at",3.092610761
"1552995_at",5.78543748
"1552997_a_at",4.485254176
"1552998_at",3.349244352
"1552999_a_at",3.799357127
"1553002_at",3.970997479
"1553003_at",4.339842393
"1553004_at",3.686160271
"1553006_at",3.789743871
"1553007_a_at",3.649944262
"1553009_s_at",4.321347327
"1553011_at",4.893602647
"1553013_at",3.739391094
"1553015_a_at",5.936163626
"1553016_at",5.442646979
"1553019_at",6.013690719
"1553020_at",3.743545449
"1553021_s_at",5.006771979
"1553022_at",2.989965439
"1553023_a_at",3.908496252
"1553024_at",2.834526987
"1553025_at",3.634395414
"1553027_a_at",4.222128588
"1553028_at",3.953303369
"1553030_a_at",7.770951706
"1553031_at",3.681680841
"1553032_at",3.624030388
"1553033_at",3.715295144
"1553034_at",4.058807877
"1553036_at",3.086944263
"1553037_a_at",3.754196346
"1553039_a_at",5.836071861
"1553041_at",4.66087732
"1553042_a_at",5.050036004
"1553043_a_at",4.870676168
"1553044_at",4.620066992
"1553045_at",4.064332756
"1553046_s_at",5.773507062
"1553047_at",5.842591106
"1553048_a_at",4.675393255
"1553051_s_at",4.178219384
"1553052_at",3.804312493
"1553053_at",4.417452941
"1553055_a_at",3.615459466
"1553057_at",5.100518324
"1553058_at",4.427972838
"1553059_at",3.497805844
"1553060_at",5.38985488
"1553061_at",4.630706889
"1553062_at",5.535407794
"1553063_at",4.617663548
"1553064_at",4.604739901
"1553066_at",3.805534835
"1553067_a_at",4.421967631
"1553069_at",3.415643882
"1553070_a_at",3.642652446
"1553071_a_at",4.120764455
"1553072_at",3.816701426
"1553074_at",3.372692204
"1553075_a_at",2.986729406
"1553076_at",3.290789527
"1553077_at",3.505642356
"1553078_at",3.909835476
"1553079_at",3.854325783
"1553080_at",3.288557504
"1553081_at",6.078621368
"1553082_at",4.815022109
"1553083_at",5.010410707
"1553084_at",3.070951284
"1553086_at",3.003237622
"1553087_at",4.76007512
"1553088_a_at",6.655989499
"1553089_a_at",5.536170084
"1553093_a_at",3.472755442
"1553094_at",4.786110272
"1553096_s_at",6.14637129
"1553099_at",6.416780293
"1553101_a_at",8.577299024
"1553102_a_at",5.122415036
"1553103_at",7.076922199
"1553105_s_at",7.332747823
"1553106_at",5.442421012
"1553107_s_at",5.562576456
"1553108_at",6.570807888
"1553111_a_at",5.343884435
"1553112_s_at",6.447522213
"1553113_s_at",5.39370746
"1553114_a_at",5.086709449
"1553115_at",5.793720742
"1553117_a_at",7.518528457
"1553118_at",7.836163671
"1553120_at",3.002963277
"1553122_s_at",3.29179178
"1553123_at",3.82412032
"1553125_x_at",4.77037837
"1553126_a_at",2.839289137
"1553127_a_at",3.543322867
"1553129_at",3.571474839
"1553130_at",6.419790663
"1553131_a_at",4.835437291
"1553132_a_at",4.552629563
"1553133_at",4.319195959
"1553134_s_at",2.800004643
"1553136_at",5.942034253
"1553137_s_at",5.517599751
"1553138_a_at",4.165232045
"1553139_s_at",4.481496151
"1553140_at",3.833382673
"1553141_at",4.389292725
"1553142_at",3.745731694
"1553145_at",7.234857165
"1553146_at",3.178795421
"1553147_at",5.559121623
"1553148_a_at",6.615211803
"1553150_at",3.7119785
"1553151_at",8.046786989
"1553153_at",9.206344989
"1553155_x_at",8.772086444
"1553156_at",4.640736413
"1553157_at",4.483677363
"1553158_at",5.84843054
"1553159_at",5.427342546
"1553162_x_at",4.731217226
"1553163_at",5.220700782
"1553165_at",5.265107893
"1553166_at",5.661920451
"1553167_a_at",6.196185304
"1553168_at",4.516222987
"1553169_at",5.460579589
"1553171_x_at",3.873046759
"1553172_at",5.958916046
"1553174_at",6.295700912
"1553175_s_at",3.88013208
"1553176_at",3.607736059
"1553177_at",3.764545057
"1553178_a_at",5.870844683
"1553179_at",4.386709391
"1553180_at",2.767310555
"1553181_at",5.28999347
"1553183_at",2.932705535
"1553185_at",7.295746649
"1553186_x_at",6.391954728
"1553188_s_at",3.860665356
"1553190_s_at",5.616807979
"1553191_at",3.086944263
"1553192_at",3.926019201
"1553193_at",3.641332032
"1553194_at",4.935814211
"1553196_a_at",3.973707228
"1553197_at",3.189733606
"1553199_at",3.505642356
"1553202_at",3.798097612
"1553204_at",5.622306391
"1553205_at",6.082387091
"1553207_at",5.498515323
"1553208_s_at",3.668025672
"1553209_at",3.660198639
"1553211_at",3.794890929
"1553212_at",4.622751439
"1553213_a_at",3.329708027
"1553214_a_at",2.972075304
"1553215_s_at",4.513128485
"1553216_at",4.039154633
"1553217_s_at",4.152045607
"1553218_a_at",8.168154231
"1553219_a_at",3.997596802
"1553220_at",4.029791067
"1553221_at",5.367248905
"1553222_at",7.332188039
"1553224_at",3.684732871
"1553225_s_at",6.076698558
"1553226_at",4.204153341
"1553227_s_at",6.19904253
"1553228_at",3.18784317
"1553229_at",4.103124526
"1553232_at",4.6247771
"1553234_at",4.279696619
"1553235_at",4.07639521
"1553237_x_at",3.873046759
"1553238_a_at",6.397150324
"1553239_at",5.324943661
"1553241_at",3.865062637
"1553243_at",6.590572395
"1553244_at",3.073099855
"1553246_a_at",4.79948985
"1553247_a_at",3.475718678
"1553248_at",5.206672103
"1553249_at",3.823121812
"1553252_a_at",4.038209402
"1553253_at",6.21005
"1553254_at",3.548391467
"1553255_at",3.393139079
"1553257_at",6.560850525
"1553258_at",4.708280392
"1553260_s_at",3.003183209
"1553261_x_at",2.973803595
"1553262_a_at",6.766862439
"1553263_at",6.173895734
"1553264_a_at",6.0412936
"1553265_at",4.849317629
"1553266_at",2.933120434
"1553267_a_at",3.397714331
"1553268_at",3.842874017
"1553269_at",4.39136916
"1553271_at",3.372336895
"1553272_at",5.066792993
"1553274_a_at",5.232921039
"1553275_s_at",4.187448009
"1553276_at",2.851866408
"1553277_at",3.030517786
"1553279_at",6.075775502
"1553280_at",4.712501182
"1553281_at",5.187959501
"1553282_at",3.751138463
"1553284_s_at",3.671963011
"1553285_s_at",3.133263446
"1553286_at",6.116688353
"1553288_a_at",4.319700374
"1553292_s_at",5.312597221
"1553293_at",3.283791085
"1553295_at",2.709427594
"1553296_at",3.005644537
"1553297_a_at",6.191857295
"1553298_at",3.086944263
"1553299_at",2.887976751
"1553300_a_at",3.759092115
"1553301_a_at",3.13690433
"1553303_at",4.927324151
"1553304_at",4.186895079
"1553306_at",4.094468874
"1553310_at",3.532564244
"1553311_at",3.005644537
"1553313_s_at",6.077220921
"1553314_a_at",3.604058515
"1553315_at",4.247334937
"1553316_at",3.646187494
"1553317_s_at",3.145919656
"1553318_at",4.340846731
"1553319_at",4.461934325
"1553320_s_at",2.75145129
"1553321_a_at",6.106150563
"1553322_s_at",3.754691944
"1553323_a_at",3.686627393
"1553325_at",3.924814595
"1553326_at",3.258061302
"1553327_a_at",3.74999419
"1553328_a_at",4.143754434
"1553329_at",3.04566739
"1553330_at",3.403802387
"1553333_at",3.312391091
"1553335_x_at",3.824380931
"1553336_a_at",3.732143912
"1553338_at",5.132463334
"1553340_s_at",5.491014232
"1553341_at",3.782351064
"1553344_at",3.05199489
"1553346_a_at",3.782859165
"1553347_s_at",4.347881085
"1553348_a_at",6.274209632
"1553349_at",5.829907708
"1553350_at",4.315441809
"1553351_at",4.283849972
"1553352_x_at",4.570466738
"1553354_a_at",4.998097657
"1553355_at",4.345516039
"1553356_at",3.121913933
"1553357_at",2.992188157
"1553359_at",7.95785268
"1553361_x_at",6.753114575
"1553362_at",2.954089864
"1553363_at",4.23911815
"1553364_at",4.295247602
"1553365_at",3.223020495
"1553366_s_at",6.477691594
"1553367_a_at",5.353725941
"1553369_at",4.586006273
"1553371_at",3.709124911
"1553372_at",4.748877671
"1553373_at",3.288153235
"1553374_at",2.944968765
"1553375_at",4.129411425
"1553376_a_at",3.069031404
"1553378_a_at",3.138952758
"1553380_at",3.035593213
"1553383_at",3.129410061
"1553385_at",4.810945581
"1553386_at",4.33631657
"1553387_at",4.811880861
"1553388_at",3.669507272
"1553389_at",3.950255452
"1553390_at",3.87410847
"1553391_at",3.2664878
"1553392_at",2.940976502
"1553394_a_at",6.47593403
"1553395_a_at",5.325936915
"1553396_a_at",6.424126647
"1553397_at",6.663905199
"1553398_at",3.232008119
"1553399_a_at",6.530213397
"1553400_a_at",3.833613544
"1553401_at",2.965373779
"1553402_a_at",3.6173585
"1553403_at",4.801446654
"1553405_a_at",4.227809866
"1553407_at",5.341831567
"1553409_at",3.193540115
"1553410_a_at",3.460783796
"1553411_s_at",4.151255852
"1553412_at",4.509175226
"1553413_at",3.996214415
"1553415_at",2.929578991
"1553417_at",3.847757618
"1553418_a_at",3.888883701
"1553420_at",3.283064753
"1553422_s_at",5.0526129
"1553423_a_at",3.309869054
"1553424_at",3.470715381
"1553425_at",4.587930815
"1553426_at",4.075412105
"1553427_at",5.296071159
"1553428_at",3.142026578
"1553429_at",4.245679347
"1553430_a_at",4.330795154
"1553432_s_at",4.237414296
"1553433_at",2.816686212
"1553434_at",3.267677957
"1553435_at",4.460052841
"1553436_at",4.541999848
"1553437_at",4.948079759
"1553438_at",6.277248067
"1553439_at",4.868362992
"1553440_at",2.859230234
"1553441_at",2.708437779
"1553442_a_at",3.390349339
"1553443_at",3.83351056
"1553444_a_at",5.987228107
"1553446_at",3.044121146
"1553447_at",3.2590458
"1553448_at",3.345885687
"1553449_at",3.761937372
"1553450_s_at",3.528054938
"1553451_at",3.855911747
"1553452_at",3.704190845
"1553453_at",4.511037977
"1553454_at",3.578069332
"1553456_at",3.886469466
"1553457_at",5.505462368
"1553458_at",4.958767285
"1553459_at",4.126186894
"1553460_at",4.161175519
"1553461_at",3.331758537
"1553462_at",3.129410061
"1553464_at",6.093038415
"1553465_a_at",3.590589599
"1553466_at",4.188386201
"1553467_at",3.851408512
"1553468_at",3.279477645
"1553470_at",3.540517387
"1553471_at",3.512365333
"1553472_at",3.446347739
"1553474_at",3.135194566
"1553475_at",3.899590307
"1553478_at",3.838654825
"1553479_at",4.321347327
"1553482_at",3.059232826
"1553483_at",5.452876392
"1553484_at",3.005644537
"1553485_at",3.915000243
"1553486_a_at",3.589163383
"1553488_at",4.545360953
"1553489_a_at",3.964475349
"1553491_at",4.028788883
"1553492_a_at",4.114787395
"1553493_a_at",3.88888769
"1553494_at",2.939645905
"1553497_at",2.86547008
"1553498_at",4.174533069
"1553499_s_at",5.77243576
"1553500_at",4.976039247
"1553502_a_at",3.607945035
"1553504_at",4.011518646
"1553505_at",4.743991861
"1553506_at",4.680139495
"1553507_a_at",4.826166514
"1553508_at",3.331610874
"1553510_s_at",5.948137464
"1553511_at",4.705238592
"1553512_at",3.955073572
"1553513_at",3.274598463
"1553514_a_at",3.859642812
"1553515_at",3.992101134
"1553517_at",4.686407989
"1553518_at",3.992906855
"1553519_at",3.076235358
"1553521_at",3.716952405
"1553523_at",5.025194166
"1553524_at",3.095184341
"1553525_at",4.750771892
"1553526_at",4.41423321
"1553527_at",4.268366028
"1553528_a_at",5.133466264
"1553529_at",3.916942276
"1553530_a_at",9.588225786
"1553531_at",4.428571249
"1553532_a_at",5.583115385
"1553533_at",3.473643069
"1553534_at",3.913797175
"1553535_a_at",7.083756293
"1553536_at",4.325312217
"1553537_at",3.910853305
"1553538_s_at",14.51843633
"1553539_at",5.439447117
"1553540_a_at",5.57711059
"1553541_at",3.895547653
"1553542_at",4.288276956
"1553544_at",5.040152483
"1553545_at",5.673215876
"1553546_at",2.727507692
"1553547_at",3.333345606
"1553549_at",3.454951549
"1553550_at",4.038209402
"1553551_s_at",14.10727161
"1553552_at",4.11656525
"1553553_at",3.486750236
"1553555_at",4.500483864
"1553556_at",3.192626817
"1553558_at",4.335594069
"1553559_at",6.038420685
"1553560_at",3.948251489
"1553561_at",3.381804375
"1553562_at",4.963515604
"1553564_at",4.235015575
"1553565_s_at",6.236336097
"1553566_at",5.343053852
"1553567_s_at",14.49004092
"1553568_a_at",4.043886251
"1553569_at",14.3010004
"1553570_x_at",14.33253496
"1553572_a_at",6.224795331
"1553573_s_at",3.568936445
"1553574_at",3.449845587
"1553575_at",6.94718571
"1553579_a_at",3.187667197
"1553581_s_at",6.400120757
"1553582_a_at",4.201791546
"1553583_a_at",6.220934144
"1553584_at",4.756611723
"1553585_a_at",4.192548675
"1553586_at",4.976433746
"1553587_a_at",7.452430456
"1553588_at",14.42067568
"1553589_a_at",12.43472152
"1553590_at",5.739163777
"1553591_at",4.190434194
"1553592_x_at",5.397669034
"1553593_a_at",4.649271077
"1553594_a_at",5.326936854
"1553599_a_at",3.135979778
"1553600_at",4.721159865
"1553601_a_at",4.033100518
"1553602_at",4.775595314
"1553603_s_at",5.792196302
"1553604_at",3.185729801
"1553605_a_at",3.211410551
"1553607_at",3.132228029
"1553608_a_at",3.42464712
"1553611_s_at",4.648719916
"1553612_at",5.539585884
"1553613_s_at",6.67692771
"1553614_a_at",3.367184423
"1553618_at",3.822942733
"1553619_a_at",3.901715139
"1553620_at",3.085789068
"1553622_a_at",3.859421484
"1553623_at",4.381707533
"1553625_at",2.944797901
"1553626_a_at",3.835341059
"1553627_s_at",3.455302175
"1553629_a_at",4.439060435
"1553630_at",2.921417221
"1553633_s_at",4.801446654
"1553634_a_at",5.265107893
"1553635_s_at",3.55238143
"1553636_at",3.081193687
"1553637_s_at",4.627512748
"1553639_a_at",5.159415629
